location_id,address_1,address_2,city,state,zip,county,location_source_value
1373,,,Haddonfield,NJ,08033,Camden County,Lat: 39.89; Long: -75.03
1374,,,Cherry Hill,NJ,08034,Camden County,Lat: 39.9; Long: -74.99
1375,,,Haddon Heights,NJ,08035,Camden County,Lat: 39.88; Long: -75.07
1376,,,Hainesport,NJ,08036,Burlington County,Lat: 39.98; Long: -74.82
1377,,,Hammonton,NJ,08037,Atlantic County,Lat: 39.65; Long: -74.77
1378,,,Hancocks Bridge,NJ,08038,Salem County,Lat: 39.47; Long: -75.45
1379,,,Harrisonville,NJ,08039,Gloucester County,Lat: 39.69; Long: -75.28
1380,,,Jobstown,NJ,08041,Burlington County,Lat: 40.03; Long: -74.68
1381,,,Juliustown,NJ,08042,Burlington County,Lat: 40.02; Long: -74.66
1382,,,Voorhees,NJ,08043,Camden County,Lat: 39.84; Long: -74.95
1383,,,Lawnside,NJ,08045,Camden County,Lat: 39.87; Long: -75.03
1384,,,Willingboro,NJ,08046,Burlington County,Lat: 40.02; Long: -74.88
1385,,,Lumberton,NJ,08048,Burlington County,Lat: 39.96; Long: -74.8
1386,,,Magnolia,NJ,08049,Camden County,Lat: 39.85; Long: -75.03
1387,,,Manahawkin,NJ,08050,Ocean County,Lat: 39.69; Long: -74.25
1388,,,Mantua,NJ,08051,Gloucester County,Lat: 39.79; Long: -75.18
1389,,,Maple Shade,NJ,08052,Burlington County,Lat: 39.95; Long: -74.99
1390,,,Marlton,NJ,08053,Burlington County,Lat: 39.9; Long: -74.92
1391,,,Mount Laurel,NJ,08054,Burlington County,Lat: 39.94; Long: -74.9
1392,,,Medford,NJ,08055,Burlington County,Lat: 39.86; Long: -74.82
1393,,,Mickleton,NJ,08056,Gloucester County,Lat: 39.78; Long: -75.25
1394,,,Moorestown,NJ,08057,Burlington County,Lat: 39.97; Long: -74.94
1395,,,Mount Ephraim,NJ,08059,Camden County,Lat: 39.88; Long: -75.09
1396,,,Mount Holly,NJ,08060,Burlington County,Lat: 39.99; Long: -74.78
1397,,,Mount Royal,NJ,08061,Gloucester County,Lat: 39.8; Long: -75.21
1398,,,Mullica Hill,NJ,08062,Gloucester County,Lat: 39.73; Long: -75.22
1399,,,National Park,NJ,08063,Gloucester County,Lat: 39.86; Long: -75.18
1400,,,New Lisbon,NJ,08064,Burlington County,Lat: 39.94; Long: -74.62
1401,,,Palmyra,NJ,08065,Burlington County,Lat: 40; Long: -75.03
1402,,,Paulsboro,NJ,08066,Gloucester County,Lat: 39.83; Long: -75.24
1403,,,Pedricktown,NJ,08067,Salem County,Lat: 39.73; Long: -75.4
1404,,,Pemberton,NJ,08068,Burlington County,Lat: 39.97; Long: -74.68
1405,,,Penns Grove,NJ,08069,Salem County,Lat: 39.72; Long: -75.46
1406,,,Pennsville,NJ,08070,Salem County,Lat: 39.65; Long: -75.51
1407,,,Pitman,NJ,08071,Gloucester County,Lat: 39.73; Long: -75.13
1408,,,Quinton,NJ,08072,Salem County,Lat: 39.54; Long: -75.41
1409,,,Rancocas,NJ,08073,Burlington County,Lat: 40.01; Long: -74.87
1410,,,Richwood,NJ,08074,Gloucester County,Lat: 39.72; Long: -75.16
